日本語;Romaji;Cara Baca;インドネシア語;Page;Furigana Segment
羽根車;Hanesha;はねしゃ;Roda Berbilah Pada Pompa Air, Kincir Air, Turbin Air;57;羽:は|根:ね|車:しゃ
使用用途;Shiyō Yōto;しようようと;Tujuan Penggunaan, Fungsi Penggunaan;57;使:し|用:よう|用:と
振動;Shindō;しんどう;Getaran, Vibrasi;57;振:しん|動:どう
委託;Itaku;いたく;Penugasan, Penyerahan Tugas, Pendelegasian;57;委:い|託:たく
圧力計;Atsuryokukei;あつりょくけい;Alat Pengukur Tekanan, Manometer;57;圧:あつ|力:りょく|計:けい
電流計;Denryūkei;でんりゅうけい;Alat Pengukur Arus Listrik, Amperemeter;57;電:でん|流:りゅう|計:けい

給水栓;Kyūsuisen;きゅうすいせん;Keran Air, Kran Air, Faucet Air;59;給:きゅう|水:すい|栓:せん
末端;Mattan;まったん;Ujung, Tepi, Akhir;59;末:ま|端:たん
青銅;Seidō;せいどう;Perunggu, Tembaga, Kuningan;59;青:せい|銅:どう
銅合金;Dōgōkin;どうごうきん;Paduan Tembaga, Logam Campuran Tembaga;59;銅:どう|合:ごう|金:きん
金属製;Kinzokusei;きんぞくせい;Terbuat dari Logam, Berbahan Logam;59;金:きん|属:ぞく|製:せい
単水栓;Tansuisen;たんすいせん;Keran Air Tunggal, Kran Air Tunggal;59;単:たん|水:すい|栓:せん
構造;Kōzō;こうぞう;Struktur, Konstruksi;59;構:こう|造:ぞう
混合栓;Kongōsen;こんごうせん;Keran Air Campuran, Kran Air Gabungan;59;混:こん|合:ごう|栓:せん

大便器;Daibenki;だいべんき;Toilet Duduk, Toilet Besar;61;大:だい|便:べん|器:き
和式;Washiki;わしき;Gaya Jepang, Gaya Tradisional Jepang;61;和:わ|式:しき
洋式;Yōshiki;ようしき;Gaya Barat, Gaya Eropa;61;洋:よう|式:しき
分類;Bunrui;ぶんるい;Klasifikasi, Kategori;61;分:ぶん|類:るい
便器;Benki;べんき;Toilet, Wastafel, Urinoir;61;便:べん|器:き
洗浄;Senjō;せんじょう;Pembersihan, Pencucian, Pembilasan;61;洗:せん|浄:じょう
洗浄弁;Senjōben;せんじょうべん;Katup Pembersih, Katup Pembilasan;61;洗:せん|浄:じょう|弁:べん
フラッシュバルブ;Furasshu Barubu;フラッシュバルブ;Katup Siram, Katup Flush, Katup Pembilasan;61;
用いる;Mochiiru;もちいる;Menggunakan, Memakai, Memanfaatkan;61;用:もち
誤って;Ayamatte;あやまって;Secara Tidak Sengaja, Secara Keliru, Secara Tidak Disengaja;61;誤:あやま
異物;Ibutsu;いぶつ;Benda Asing, Benda yang Tidak Diinginkan;61;異:い|物:ぶつ
詰まり;Tsumari;つまり;Penyumbatan, Tersumbat, Tersendat;61;詰:つ|まり
溶ける;Tokeru;とける;Meleleh, Larut, Mencair;61;溶:と
ロータンク;Rōtank;ロータンク;Tangki Toilet, Tangki Air Toilet;61;
フロート弁;Furōto Ben;フロートべん;Katup Pelampung, Katup Apung;61;
ボールタップ;Bōru Tappu;ボールタップ;Katup Bola, Katup Keran Bola;61;
止水不良;Shisui Furyō;しすいふりょう;Kegagalan Penutupan Air, Kebocoran, Malfungsi Penutupan Air;61;止:し|水:すい|不:ふ|良:りょう
漏水;Rōsui;ろうすい;Kebocoran Air, Bocor;61;漏:ろう|水:すい
程度;Teido;ていど;Tingkat, Derajat, Skala;61;程:てい|度:ど
和風;Wafū;わふう;Gaya Jepang, Gaya Tradisional Jepang;61;和:わ|風:ふう
洋風;Yōfū;ようふう;Gaya Barat, Gaya Eropa;61;洋:よう|風:ふう
洗い出し式;Arai-dashi-shiki;あらいだし式;Sistem Pembilasan, Tipe Pembilasan;61;洗:あら|出:だ|式:しき
サイホン式;Saihon-shiki;サイホン式;Sistem Sifon, Tipe Sifon;61;式:しき
サイホンゼット式;Saihon Zetto-shiki;サイホンゼット式;Sistem Sifon Z, Tipe Sifon Z;61;式:しき
洗い落し式;Arai-otoshi-shiki;あらいおとし式;Sistem Pembilasan, Tipe Pembilasan;61;洗:あら|落:おと|式:しき
浮玉;Ukidama;うきだま;Pelampung, Bola Apung;61;浮:うき|玉:だま
浮玉指示棒;Ukidama Shijibō;うきだましじぼう;Tongkat Penunjuk Pelampung, Tongkat Indikator Pelampung;61;浮:うき|玉:だま|指:し|示:じ|棒:ぼう
鎖;Kusari;くさり;Rantai;61;鎖:くさり
止水栓;Shisuisen;しすいせん;Katup Penutup Air, Katup Shut-off Air;61;止:し|水:すい|栓:せん
給水弁;Kyūsui Ben;きゅうすいべん;Katup Pasokan Air, Katup Pemasokan Air;61;給:きゅう|水:すい|弁:べん
流量調節弁;Ryūryō Chōsetsu Ben;りゅうりょうちょうせつべん;Katup Pengatur Aliran, Katup Pengontrol Aliran;61;流:りゅう|量:りょう|調:ちょう|節:せつ|弁:べん

小便器;Shōbenki;しょうべんき;Urinoir, Toilet Kecil;63;小:しょう|便:べん|器:き
壁掛式;Kabekake-shiki;かべかけしき;Tipe Digantung di Dinding, Tipe Dinding, Tipe Gantung;63;壁:かべ|掛:かけ|式:しき
床置式;Yukaoki-shiki;ゆかおきしき;Tipe Diletakkan di Lantai, Tipe Lantai, Tipe Berdiri;63;床:ゆか|置:おき|式:しき
陶製;Tōsei;とうせい;Terbuat dari Keramik, Berbahan Keramik;63;陶:とう|製:せい
排水;Haisui;はいすい;Pembuangan Air, Pembuangan;63;排:はい|水:すい
壁掛形;Kabekake-gata;かべかけがた;Tipe Digantung di Dinding, Tipe Dinding, Tipe Gantung;63;壁:かべ|掛:かけ|形:がた
本体;Hontai;ほんたい;Badan Utama, Unit Utama;63;本:ほん|体:たい
一体;Ittai;いったい;Satu Kesatuan, Terintegrasi;63;一:いっ|体:たい
構造;Kōzō;こうぞう;Struktur, Konstruksi;63;構:こう|造:ぞう
除去;Jokyo;じょきょ;Penghapusan, Pembuangan, Pembersihan;63;除:じょ|去:きょ
洗浄水不足;Senjōsui Busoku;せんじょうすいぶそく;Jumlah Air Tidak Cukup, Kekurangan Air Pembersih;63;洗:せん|浄:じょう|水:すい|不:ぶ|足:そく
尿石;Nyōseki;にょうせき;Kerak Urin, Batu Urin, Endapan Urin;63;尿:にょう|石:せき
塩類;Enrui;えんるい;Garam, Mineral, Zat Garam;63;塩:えん|類:るい
固まる;Katamaru;かたまる;Mengeras, Membeku;63;固:かた
こびりつき;Kobiritsuki;こびりつき;Menempel, Melekat, Tertempel;63;
目隠し;Mekakushi;めかくし;Penutup Mata, Tirai, Penyekat;63;目:め|隠:かく
袖;Sode;そで;Lengan, Sisi, Bagian Samping;63;袖:そで
上図;Jōzu;じょうず;Gambar di Atas, Ilustrasi di Atas;63;上:じょう|図:ず
常に;Tsune ni;つねに;Selalu, Secara Terus-Menerus, Secara Konsisten;63;常:つね
清潔;Seiketsu;せいけつ;Bersih, Higienis, Sanitasi;63;清:せい|潔:けつ
保ち;Tamochi;たもち;Mempertahankan, Menjaga, Memelihara;63;保:たも
不快感;Fukaikan;ふかいかん;Perasaan Tidak Nyaman, Ketidaknyamanan;63;不:ふ|快:かい|感:かん
接続;Setsuzoku;せつぞく;Koneksi, Sambungan, Hubungan;63;接:せつ|続:ぞく
維持;Iji;いじ;Pemeliharaan, Perawatan, Menjaga;63;維:い|持:じ
記す;Shirusu;しるす;Mencatat, Menulis, Merekam;63;記:しる
適正;Tekisei;てきせい;Kesesuaian, Kelayakan, Kecocokan;63;適:てき|正:せい
洗浄;Senjō;せんじょう;Pembersihan, Pencucian, Pembilasan;63;洗:せん|浄:じょう
水量;Suiryō;すいりょう;Volume Air, Jumlah Air;63;水:すい|量:りょう
務める;Tsutomeru;つとめる;Bertugas, Bekerja, Berperan;63;務:つと
自動洗浄;Jidō Senjō;じどうせんじょう;Pencucian Otomatis, Pembersihan Otomatis, Pembilasan Otomatis;63;自:じ|動:どう|洗:せん|浄:じょう
調節スピンドル;Chōsetsu Supindoru;ちょうせつスピンドル;Spindle Pengatur, Poros Pengatur;63;調:ちょう|節:せつ
チャッキスピンドル;Chakki Supindoru;チャッキスピンドル;Spindle Katup, Poros Katup;63;
本体カバー;Hontai Kabā;ほんたいカバー;Penutup Unit Utama, Penutup Badan Utama;63;本:ほん|体:たい
カバー下パッキン;Kabā Shita Pakkin;カバーしたパッキン;Paking di Bawah Penutup, Paking di Bawah Cover;63;下:した
ピストン部;Pisuton Bu;ピストンぶ;Bagian Piston, Komponen Piston;63;
スプリング;Supuringu;スプリング;Pegas, Spring;63;
フラッシュバルブ本体;Furasshu Barubu Hontai;フラッシュバルブほんたい;Unit Utama Katup Siram, Badan Utama Katup Flush;63;本:ほん|体:たい
押ボタン部;Oshibotan Bu;おしボタンぶ;Bagian Tombol Tekan, Komponen Tombol Tekan;63;押:おし|部:ぶ
洗浄弁構造図;Senjōben Kōzōzu;せんじょうべんこうぞうず;Diagram Struktur Katup Pembersih, Gambar Struktur Katup Pembilasan;63;洗:せん|浄:じょう|弁:べん|構:こう|造:ぞう|図:ず

給湯器;Kyūtōki;きゅうとうき;Pemanas Air, Water Heater;65;給:きゅう|湯:とう|器:き
加熱器;Kanetsuki;かねつき;Pemanas, Alat Pemanas;65;加:か|熱:ねつ|器:き
加熱;Kanetsu;かねつ;Pemanasan, Pemanas;65;加:か|熱:ねつ
入浴用;Nyūyokuyō;にゅうよくよう;Untuk Mandi, Untuk Berendam, Untuk Mandi dan Berendam;65;入:にゅう|浴:よく|用:よう
大型温水機器;Ōgata Onsui Kiki;おおがたおんすいきき;Peralatan Air Panas Ukuran Besar, Peralatan Air Panas Berukuran Besar;65;大:おお|型:がた|温:おん|水:すい|機:き|器:き
容量;Yōryō;ようりょう;Kapasitas;65;容:よう|量:りょう
瞬間湯沸器;Shunkan Yuwakashi-ki;しゅんかんゆわかしき;Pemanas Air Instan, Pemanas Air Seketika;65;瞬:しゅん|間:かん|湯:ゆ|沸:わかし|器:き
小型電気温水器;Kogata Denki Onsui-ki;こがたでんきおんすいき;Pemanas Air Listrik Ukuran Kecil, Pemanas Air Listrik Mini;65;小:こ|型:がた|電:でん|気:き|温:おん|水:すい|器:き
貯湯式電気温水器;Chotōshiki Denki Onsui-ki;ちょとうしきでんきおんすいき;Pemanas Air Listrik dengan Tangki Penyimpanan, Pemanas Air Listrik Tipe Tangki;65;貯:ちょ|湯:とう|式:しき|電:でん|気:き|温:おん|水:すい|器:き
中小規模施設;Chūshō Kibo Shisetsu;ちゅうしょうきぼしせつ;Fasilitas Skala Kecil dan Menengah;65;中:ちゅう|小:しょう|規:き|模:ぼ|施:し|設:せつ
湯沸器;Yuwakashi-ki;ゆわかしき;Pemanas Air, Water Heater;65;湯:ゆ|沸:わかし|器:き
爆発;Bakuhatsu;ばくはつ;Ledakan, Meledak;65;爆:ばく|発:はつ
換気不足;Kanki Busoku;かんきぶそく;Kurangnya Ventilasi, Kekurangan Ventilasi;65;換:かん|気:き|不足:ぶそく
惨事;Sanji;さんじ;Tragedi, Bencana, Kejadian Mengerikan;65;惨:さん|事:じ
操作;Sōsa;そうさ;Operasi, Pengoperasian;65;操:そう|作:さ
不調;Fuchō;ふちょう;Gangguan, Kerusakan, Malfungsi, Tidak Berfungsi dengan Baik;65;不:ふ|調:ちょう
ガス瞬間湯沸器;Gas Shunkan Yuwakashi-ki;ガスしゅんかんゆわかしき;Pemanas Air Gas Instan, Pemanas Air Gas Seketika;65;瞬:しゅん|間:かん|湯:ゆ|沸:わかし|器:き
電気温水器;Denki Onsui-ki;でんきおんすいき;Pemanas Air Listrik, Water Heater Listrik;65;電:でん|気:き|温:おん|水:すい|器:き
ヒートポンプ式給湯器;Hīto Ponpu-shiki Kyūtōki;ヒートポンプしききゅうとうき;Pemanas Air Tipe Heat Pump, Pemanas Air dengan Sistem Heat Pump;65;式:しき|給:きゅう|湯:とう|器:き
小型電気瞬間給湯器;Kogata Denki Shunkan Kyūtōki;こがたでんきしゅんかんきゅうとうき;Pemanas Air Listrik Instan Ukuran Kecil, Pemanas Air Listrik Seketika Ukuran Kecil;65;小:こ|型:がた|電:でん|気:き|瞬:しゅん|間:かん|給:きゅう|湯:とう|器:き

排水設備;Haisui Setsubi;はいすいせつび;Peralatan Pembuangan Air Limbah, Sistem Pembuangan Air;67;排:はい|水:すい|設:せつ|備:び
水洗トイレ;Suisen Toire;すいせんといれ;Toilet Air, Toilet Flush, Toilet Siram;67;水:すい|洗:せん
汚水;Osui;おすい;Air Kotor, Air Limbah, Air Buangan;67;汚:お|水:すい
手洗器;Tearaiki;てあらいき;Wastafel, Tempat Cuci Tangan;67;手:て|洗:あらい|器:き
厨房;Chūbō;ちゅうぼう;Dapur;67;厨:ちゅう|房:ぼう
雑排水;Zatsuhaisui;ざつはいすい;Air Limbah Non-Toilet, Air Limbah Campuran, Air Limbah Beragam;67;雑:ざつ|排:はい|水:すい
屋根;Yane;やね;Atap, Genteng;67;屋:や|根:ね
敷地内;Shikichinai;しきちない;Di Dalam Area, Di Dalam Lokasi, Di Dalam Situs;67;敷:しき|地:ち|内:ない
雨水;Amamizu;あまみず;Air Hujan, Air Gerimis;67;雨:あま|水:みず
下水道管;Gesuidōkan;げすいどうかん;Pipa Saluran Pembuangan Air Limbah, Pipa Saluran Air Limbah;67;下:げ|水:すい|道:どう|管:かん
屋内;Okunai;おくない;Di Dalam Ruangan, Indoor;67;屋:おく|内:ない
通気管;Tsūki-kan;つうきかん;Pipa Ventilasi, Pipa Udara, Pipa Pengudaraan;67;通:つう|気:き|管:かん
阻集器;Soshūki;そしゅうき;Alat Penangkap, Perangkat Penyaring, Perangkat Pengumpul;67;阻:そ|集:しゅう|器:き
グリーストラップ;Gurīsu Torappu;グリーストラップ;Perangkap Lemak, Perangkap Minyak, Perangkap Grease;67;
排水桝;Haisui Masu;はいすいます;Bak Kontrol, Kotak Pembuangan Air, Kotak Saluran Air, Kotak Pembuangan;67;排:はい|水:すい|桝:ます
埋設排水管;Maisetsu Haisui-kan;まいせつはいすいかん;Pipa Pembuangan Air yang Tertanam, Pipa Pembuangan Air yang Dikebumikan;67;埋:まい|設:せつ|排:はい|水:すい|管:かん
側溝;Sokō;そこう;Saluran Air, Parit, Selokan;67;側:そ|溝:こう
整備;Seibi;せいび;Pemeliharaan, Perawatan, Penataan;67;整:せい|備:び
地域;Chiiki;ちいき;Wilayah, Daerah, Area;67;地:ち|域:いき
合流方式;Gōryū Hōshiki;ごうりゅうほうしき;Sistem Penggabungan, Sistem Penyatuan, Sistem Gabungan;67;合:ごう|流:りゅう|方:ほう|式:しき
分流方式;Bunryū Hōshiki;ぶんりゅうほうしき;Sistem Pemisahan, Sistem Pembagian, Sistem Terpisah;67;分:ぶん|流:りゅう|方:ほう|式:しき
臭い;Kusai;くさい;Bau, Bau Tidak Sedap, Bau Busuk;67;臭:くさ
害虫;Gaichū;がいちゅう;Hama, Serangga Perusak;67;害:がい|虫:ちゅう
侵入;Shinnyū;しんにゅう;Penyusupan, Masuk, Invasi;67;侵:しん|入:にゅう
混入;Konnyū;こんにゅう;Tercampur, Pencampuran, Pencampur, Pencemaran;67;混:こん|入:にゅう
防止する;Bōshi suru;ぼうしする;Mencegah, Mencegah Terjadinya, Menghindari;67;防:ぼう|止:し
阻害;Sogai;そがい;Hambatan, Gangguan, Rintangan;67;阻:そ|害:がい
維持管理;Ijikanri;いじかんり;Pemeliharaan dan Pengelolaan, Manajemen dan Pemeliharaan;67;維:い|持:じ|管:かん|理:り
補修;Hoshu;ほしゅ;Perbaikan, Pemeliharaan, Perawatan;67;補:ほ|修:しゅ
洗面器;Senmenki;せんめんき;Wastafel, Tempat Cuci Muka;67;洗:せん|面:めん|器:き
横引き管;Yokobiki-kan;よこびきかん;Pipa Horizontal, Pipa Lateral, Pipa Samping;67;横:よこ|引:び|管:かん
立て管;Tatekkan;たてかん;Pipa Vertikal, Pipa Tegak, Pipa Berdiri;67;立:た|管:かん
通気管;Tsūki-kan;つうきかん;Pipa Ventilasi, Pipa Udara, Pipa Pengudaraan;67;通:つう|気:き|管:かん
床排水;Yuka Haisui;ゆかはいすい;Pembuangan Air di Lantai, Saluran Air di Lantai;67;床:ゆか|排:はい|水:すい
公共下水道;Kōkyō Gesuidō;こうきょうげすいどう;Sistem Pembuangan Air Limbah Umum, Sistem Saluran Pembuangan Air Limbah Umum;67;公共:こうきょう|下:げ|水:すい|道:どう
下水道;Gesuidō;げすいどう;Sistem Pembuangan Air Limbah, Sistem Saluran Pembuangan Air Limbah;67;下:げ|水:すい|道:どう
地下排水槽;Chika Haisui-sō;ちかはいすいそう;Tangki Pembuangan Air Bawah Tanah, Tangki Pembuangan Air di Bawah Tanah;67;地:ち|下:か|排:はい|水:すい|槽:そう
例;Rei;れい;Contoh, Contoh Kasus, Ilustrasi;67;例:れい

屋内排水設備;Okunai Haisui Setsubi;おくないはいすいせつび;Sistem Pembuangan Air Limbah Dalam Ruangan, Sistem Pembuangan Air Limbah Indoor;67;屋:おく|内:ない|排:はい|水:すい|設:せつ|備:び
系統;Keitō;けいとう;Sistem, Rangkaian, Jalur, Jaringan;71;系:けい|統:とう
方式;Hōshiki;ほうしき;Sistem, Metode, Cara;71;方:ほう|式:しき
重力式;Jūryoku-shiki;じゅうりょくしき;Sistem Gravitasi, Sistem Berbasis Gravitasi;71;重:じゅう|力:りょく|式:しき
自然流下式;Shizen Ryūka-shiki;しぜんりゅうかしき;Sistem Aliran Gravitasi, Sistem Aliran Alamiah;71;自然:しぜん|流:りゅう|下:か|式:しき
低位排水;Teii Haisui;ていいはいすい;Pembuangan Air Rendah, Pembuangan Air di Bawah;71;低:てい|位:い|排:はい|水:すい
破封;Hafū;はふう;Pecah Segel, Pecah Penutup, Rusak Penutup;71;破:は|封:ふう
悪臭封水;Akushū Fūsui;あくしゅうふうすい;Air Penahan Bau, Air Penutup Bau Tidak Sedap;71;悪:あく|臭:しゅう|封:ふう|水:すい
現象;Genshō;げんしょう;Fenomena, Gejala, Kejadian;71;現:げん|象:しょう
椀トラップ;Wan Torappu;わんとらっぷ;Trap Mangkuk, Sifon Mangkuk;71;椀:わん
お椀型;Owan-gata;おわんがた;Bentuk Mangkuk, Tipe Mangkuk;71;椀:わん|型:がた
蒸発;Jōhatsu;じょうはつ;Penguapan, Evaporasi;71;蒸:じょう|発:はつ
封水;Fūsui;ふうすい;Air Penutup, Air Penahan, Air Sifon;71;封:ふう|水:すい
缶;Kan;かん;Kaleng, Tabung, Drum;71;缶:かん

及び;Oyobi;および;Dan, Serta, Juga;73;及:およ
支障;Shishō;ししょう;Gangguan, Hambatan, Masalah;73;支:し|障:しょう
物質;Busshitsu;ぶっしつ;Zat, Bahan, Material;73;物:ぶっ|質:しつ
除去;Jokyo;じょきょ;Penghapusan, Pembuangan, Penyingkiran;73;除:じょ|去:きょ
調理;Chōri;ちょうり;Memasak, Memasak Makanan;73;調:ちょう|理:り
有害;Yūgai;ゆうがい;Berbahaya, Merugikan, Beracun;73;有:ゆう|害:がい
油脂;Yushi;ゆし;Lemak, Minyak, Lipid;73;油:ゆ|脂:し
排出する;Haishutsu suru;はいしゅつする;Mengeluarkan, Membuang, Menghasilkan;73;排:はい|出:しゅつ
内面;Naimen;ないめん;Bagian Dalam, Permukaan Dalam, Interior;73;内:ない|面:めん
べたべた;Betabeta;べたべた;Lengket, Lembab, Basah;73;
張り付き;Haritsuki;はりつき;Menempel, Melekat, Tertempel;73;張:は|付:つ
分離する;Bunri suru;ぶんりする;Memisahkan, Memecah, Mengisolasi;73;分:ぶん|離:り
収集する;Shūshū suru;しゅうしゅうする;Mengumpulkan, Mengoleksi, Menyimpan;73;収:しゅう|集:しゅう
構造;Kōzō;こうぞう;Struktur, Konstruksi, Susunan;73;構:こう|造:ぞう
維持する;Iji suru;いじする;Memelihara, Menjaga, Mempertahankan;73;維:い|持:じ
状況;Jōkyō;じょうきょう;Situasi, Kondisi, Keadaan;73;状:じょう|況:きょう
ストレーナー;Sutorēnā;ストレーナー;Saringan, Filter, Penyaring;73;
管詰まり;Kanzumari;かんづまり;Penyumbatan, Tersumbat, Tersendat;73;管:かん|詰:づまり
溜まった;Tamatta;たまった;Terkumpul, Terakumulasi, Tersimpan;73;溜:た
柄杓;Hishaku;ひしゃく;Gayung, Sendok Air, Cerek Air;73;柄:ひ|杓:しゃく
細菌;Saikin;さいきん;Bakteri, Kuman, Mikroorganisme;73;細:さい|菌:きん
繫殖;Hanshoku;はんしょく;Perkembangbiakan, Reproduksi, Pertumbuhan;73;繫:はん|殖:しょく
温床源;Onshōgen;おんしょうげん;Sumber Inkubasi, Sumber Perkembangbiakan, Sumber Pertumbuhan;73;温:おん|床:しょう|源:げん
衛生的;Eiseiteki;えいせいてき;Higienis, Sanitasi, Bersih;73;衛:えい|生:せい|的:てき
管理;Kanri;かんり;Manajemen, Pengelolaan, Pengawasan;73;管:かん|理:り
水面;Suimen;すいめん;Permukaan Air, Permukaan Laut, Permukaan Kolam;73;水:すい|面:めん
浮上;Fujō;ふじょう;Mengapung, Terapung, Muncul ke Permukaan;73;浮:ふ|上:じょう
捕獲;Hokaku;ほかく;Penangkapan, Penangkap, Penangkaran;73;捕:ほ|獲:かく
受けかご;Ukekago;うけかご;Keranjang Penampung, Keranjang Penerima, Keranjang Penangkap;73;受:う
スライド板;Suraido Ita;スライドいた;Papan Geser, Papan Slide;73;板:いた
無害;Mugai;むがい;Tidak Berbahaya, Tidak Merugikan, Tidak Beracun;73;無:む|害:がい
公共下水;Kōkyō Gesui;こうきょうげすい;Sistem Pembuangan Air Limbah Umum, Sistem Saluran Pembuangan Air Limbah Umum;73;公共:こうきょう|下:げ|水:すい

真空式温水ヒーター;Shinkū-shiki Onsui Hītā;しんくうしきおんすいひーた;Pemanas Air Panas dengan Sistem Vakum, Pemanas Air Panas Tipe Vakum;75;真:しん|空:くう|式:しき|温:おん|水:すい|ヒーター:ヒーター
燃焼室;Nenshōshitsu;ねんしょうしつ;Ruang Pembakaran, Ruang Bakar;75;燃:ねん|焼:しょう|室:しつ
減圧蒸気室;Gen'atsu Jōkishitsu;げんあつじょうきしつ;Ruang Uap Tekanan Rendah, Ruang Uap Bertekanan Rendah;75;減:げん|圧:あつ|蒸:じょう|気:き|室:しつ
熱媒水;Netsubaisui;ねつばいすい;Air Pemanas, Air Media Panas;75;熱:ねつ|媒:ばい|水:すい
熱交換器;Netsu Kōkanki;ねつこうかんき;Penukar Panas, Heat Exchanger;75;熱:ねつ|交:こう|換:かん|器:き
缶体;Kantai;かんたい;Tangki Utama Boiler, Badan, Unit, Tabung;75;缶:かん|体:たい
真空;Shinkū;しんくう;Vakum, Hampa Udara;75;真:しん|空:くう
沸騰;Futtō;ふっとう;Mendidih, Rebus, Memasak Air;75;沸:ふっ|騰:とう
蒸気;Jōki;じょうき;Uap, Uap Air, Uap Panas;75;蒸:じょう|気:き
凝縮;Gyōshuku;ぎょうしゅく;Kondensasi, Pengembunan, Pengembunan Uap;75;凝:ぎょう|縮:しゅく
無圧開放式温水ヒーター;Muatsu Kaihō-shiki Onsui Hītā;むあつかいほうしきおんすいひーた;Pemanas Air Panas dengan Sistem Pembukaan Tanpa Tekanan, Pemanas Air Panas Tipe Pembukaan Tanpa Tekanan;75;無:む|圧:あつ|開:かい|放:ほう|式:しき|温:おん|水:すい|ヒーター:ヒーター
大気中;Taikichū;たいきちゅう;Di Atmosfer, Di Udara Terbuka;75;大:たい|気:き|中:ちゅう
解放;Kaihō;かいほう;Pembukaan, Pelepasan, Pembebasan;75;開:かい|放:ほう
介して;Kaishite;かいして;Melalui, Lewat, Melintasi;75;介:かい
取り出し温水;Toridashi Onsui;とりだしおんすい;Air Panas yang Dikeluarkan, Air Panas yang Diambil;75;取:と|出:だし|温:おん|水:すい
維持管理;Ijikanri;いじかんり;Pemeliharaan, Manajemen, Pengelolaan;75;維:い|持:じ|管:かん|理:り
保守契約;Hoshu Keiyaku;ほしゅけいやく;Kontrak Pemeliharaan, Perjanjian Pemeliharaan;75;保:ほ|守:しゅ|契:けい|約:やく
減圧蒸気室;Gen'atsu Jōkishitsu;げんあつじょうきしつ;Ruang Uap Tekanan Rendah, Ruang Uap Bertekanan Rendah;75;減:げん|圧:あつ|蒸:じょう|気:き|室:しつ
都市ガス;Toshi Gasu;としがす;Gas Kota, Gas Alam, Gas Perkotaan;75;都:と|市:し
燃焼排ガス;Nenshō Haigasu;ねんしょうはいがす;Gas Buang Pembakaran, Gas Sisa Pembakaran;75;燃:ねん|焼:しょう|排:はい|ガス:ガス
真空式温水ヒーター;Shinkū-shiki Onsui Hītā;しんくうしきおんすいひーた;Pemanas Air Panas dengan Sistem Vakum, Pemanas Air Panas Tipe Vakum;75;真:しん|空:くう|式:しき|温:おん|水:すい|ヒーター:ヒーター
開放タンク;Kaihō Tanku;かいほうたんく;Tangki Terbuka, Tangki Tanpa Penutup;75;開:かい|放:ほう|タンク:タンク
熱媒ポンプ;Netsubai Ponpu;ねつばいぽんぷ;Pompa Air Pemanas, Pompa Media Panas;75;熱:ねつ|媒:ばい|ポンプ:ポンプ
煙室;Enshitsu;えんしつ;Ruang Asap, Ruang Pembakaran, Ruang Bakar;75;煙:えん|室:しつ

吸収式冷温水発生機;Kyūshū-shiki Reionsui Hasseiki;きゅうしゅうしきれいおんすいはっせいき;Mesin Pembuat Air Dingin dan Panas Tipe Absorpsi, Mesin Pembuat Air Dingin dan Panas dengan Sistem Absorpsi;77;吸:きゅう|収:しゅう|式:しき|冷:れい|温:おん|水:すい|発:はっ|生:せい|機:き
工場;Kōjō;こうじょう;Pabrik, Industri, Tempat Kerja;77;工:こう|場:じょう
公共施設;Kōkyō Shisetsu;こうきょうしせつ;Fasilitas Umum, Fasilitas Publik;77;公:こう|共:きょう|施:し|設:せつ
百貨店;Hyakkaten;ひゃっかてん;Toko Serba Ada, Department Store;77;百:ひゃっ|貨:か|店:てん
空調する;Kūchō suru;くうちょうする;Mengatur Suhu, Mengkondisikan Udara, Mengendalikan Suhu;77;空:くう|調:ちょう
空間;Kūkan;くうかん;Ruang, Area, Tempat;77;空:くう|間:かん
空調時間;Kūchō Jikan;くうちょうじかん;Waktu Operasi Air Conditioning, Waktu Pengkondisian Udara, Waktu Pengaturan Suhu;77;空:くう|調:ちょう|時間:じかん
発揮;Hakki;はっき;Menunjukkan, Memperlihatkan, Menampilkan;77;発:はっ|揮:き
冷暖房装置;Reidanbō Sōchi;れいだんぼうそうち;Mesin Pendingin dan Pemanas, Sistem Pendingin dan Pemanas, Peralatan Pendingin dan Pemanas;77;冷:れい|暖:だん|房:ぼう|装:そう|置:ち
メジャーな方式;Mejā na Hōshiki;メジャーなほうしき;Sistem yang Umum, Sistem yang Populer, Sistem yang Banyak Digunakan;77;方式:ほうしき
大規模;Daikibo;だいきぼ;Skala Besar, Ukuran Besar, Besar;77;大:だい|規:き|模:ぼ
気化熱;Kikane-tsu;きかねつ;Kalor Penguapan, Kalor Penguapan, Kalor Evaporasi;77;気:き|化:か|熱:ねつ
下図;Kazu;かず;Gambar di Bawah, Ilustrasi di Bawah, Diagram di Bawah;77;下:か|図:ず
一連;Ichiren;いちれん;Serangkaian, Rangkaian, Satu Set;77;一:いち|連:れん
繰り返す;Kurikaesu;くりかえす;Mengulang, Berulang, Melakukan Berulang Kali;77;繰:く|返:かえ
冷媒;Reibai;れいばい;Refrigeran, Bahan Pendingin, Zat Pendingin;77;冷:れい|媒:ばい
吸収液;Kyūshū-eki;きゅうしゅうえき;Cairan Absorpsi, Larutan Absorpsi;77;吸:きゅう|収:しゅう|液:えき
臭化リチウム;Shūka Richiumu;しゅうかりちうむ;Bromida Litium, Lithium Bromide;77;臭:しゅう|化:か
水溶液;Suiyōeki;すいようえき;Larutan Air, Larutan Berbasis Air;77;水:すい|溶:よう|液:えき
