漢字;Romaji;Cara Baca;インドネシア語;第～週;～日目;Hari ke-;Furigana Map
費用;hiyō;ひよう;biaya;第3週;2日目;Hari ke-16;費:ひ|用:よう
旅費;ryohi;りょひ;biaya perjalanan;第3週;2日目;Hari ke-16;旅:りょ|費:ひ
会費;kaihi;かいひ;biaya member/keanggotaan;第3週;2日目;Hari ke-16;会:かい|費:ひ
消費者;shōhisha;しょうひしゃ;konsumen;第3週;2日目;Hari ke-16;消:しょう|費:ひ|者:しゃ
期間;kikan;きかん;masa, periode;第3週;2日目;Hari ke-16;期:き|間:かん
長期;chōki;ちょうき;masa yang lama/jangka panjang;第3週;2日目;Hari ke-16;長:ちょう|期:き
短期;tanki;たんき;masa yang pendek/jangka pendek;第3週;2日目;Hari ke-16;短:たん|期:き
定期券;teikiken;ていきけん;tiket langganan;第3週;2日目;Hari ke-16;定:てい|期:き|券:けん
期限;kigen;きげん;batas waktu;第3週;2日目;Hari ke-16;期:き|限:げん
限る;kagiru;かぎる;membatasi;第3週;2日目;Hari ke-16;限:かぎ
限度;gendo;げんど;batas (maksimal);第3週;2日目;Hari ke-16;限:げん|度:ど
限定;gentei;げんてい;batasan;第3週;2日目;Hari ke-16;限:げん|定:てい
賞;shō;しょう;hadiah;第3週;2日目;Hari ke-16;賞:しょう
賞金;shōkin;しょうきん;hadiah uang;第3週;2日目;Hari ke-16;賞:しょう|金:きん
賞品;shōhin;しょうひん;hadiah (benda);第3週;2日目;Hari ke-16;賞:しょう|品:ひん
賞味期限;shōmikigen;しょうみきげん;batas aman konsumsi (exp date)/baik digunakan sebelum;第3週;2日目;Hari ke-16;賞:しょう|味:み|期:き|限:げん
製品;seihin;せいひん;produk;第3週;2日目;Hari ke-16;製:せい|品:ひん
~製;~sei;~せい;made in/terbuat dari/buatan;第3週;2日目;Hari ke-16;製:~せい
造る;tsukuru;つくる;membuat, membangun;第3週;2日目;Hari ke-16;造:つく
製造;seizō;せいぞう;manufaktur, produksi;第3週;2日目;Hari ke-16;製:せい|造:ぞう
方法;hōhō;ほうほう;cara, metode;第3週;2日目;Hari ke-16;方:ほう|法:ほう
文法;bunpō;ぶんぽう;tata bahasa, pola kalimat;第3週;2日目;Hari ke-16;文:ぶん|法:ぽう
温かい;atatakai;あたたかい;hangat;第3週;2日目;Hari ke-16;温:あたた
温度;ondo;おんど;suhu (general);第3週;2日目;Hari ke-16;温:おん|度:ど
気温;kion;きおん;suhu udara, temperatur;第3週;2日目;Hari ke-16;気:き|温:おん
常温;jōon;じょうおん;suhu normal;第3週;2日目;Hari ke-16;常:じょう|温:おん
販売;hanbai;はんばい;penjualan;第3週;3日目;Hari ke-17;販:はん|売:ばい
自動販売機;jidōhanbaiki;じどうはんばいき;vending machine, mesin penjualan otomatis;第3週;3日目;Hari ke-17;自:じ|動:どう|販:はん|売:ばい|機:き
飛行機;hikōki;ひこうき;pesawat;第3週;3日目;Hari ke-17;飛:ひ|行:こう|機:き
機械;kikai;きかい;mesin;第3週;3日目;Hari ke-17;機:き|械:かい
機会;kikai;きかい;kesempatan;第3週;3日目;Hari ke-17;機:き|会:かい
増える;fueru;ふえる;bertambah;第3週;3日目;Hari ke-17;増:ふ
増やす;fuyasu;ふやす;menambahkan;第3週;3日目;Hari ke-17;増:ふ
増加;zōka;ぞうか;penambahan, peningkatan;第3週;3日目;Hari ke-17;増:ぞう|加:か
減る;heru;へる;berkurang;第3週;3日目;Hari ke-17;減:へ
減らす;herasu;へらす;mengurangi;第3週;3日目;Hari ke-17;減:へ
減少;genshō;げんしょう;pengurangan, penurunan;第3週;3日目;Hari ke-17;減:げん|少:しょう
量;ryō;りょう;kuantitas;第3週;3日目;Hari ke-17;量:りょう
数量;sūryō;すうりょう;jumlah, banyaknya, kuantitas;第3週;3日目;Hari ke-17;数:すう|量:りょう
増量;zōryō;ぞうりょう;jumlah bertambah, peningkatan jumlah (berat badan);第3週;3日目;Hari ke-17;増:ぞう|量:りょう
減量;genryō;げんりょう;jumlah berkurang, penurunan jumlah (berat badan);第3週;3日目;Hari ke-17;減:げん|量:りょう
氷;kōri;こおり;es, es batu;第3週;3日目;Hari ke-17;氷:こおり
返す;kaesu;かえす;mengembalikan;第3週;3日目;Hari ke-17;返:かえ
返事;henji;へんじ;balasan, jawaban, respon;第3週;3日目;Hari ke-17;返:へん|事:じ
返却;henkyaku;へんきゃく;pengembalian;第3週;3日目;Hari ke-17;返:へん|却:きゃく
お湯;oyu;おゆ;air panas;第3週;3日目;Hari ke-17;湯:ゆ
材料;zairyō;ざいりょう;bahan, ingredients;第3週;4日目;Hari ke-18;材:ざい|料:りょう
教材;kyōzai;きょうざい;materi mengajar, bahan mengajar;第3週;4日目;Hari ke-18;教:きょう|材:ざい
卵;tamago;たまご;telur;第3週;4日目;Hari ke-18;卵:たまご
卵焼き;tamagoyaki;たまごやき;telur dadar;第3週;4日目;Hari ke-18;卵:たまご|焼:や
牛乳;gyūnyū;ぎゅうにゅう;susu, susu sapi;第3週;4日目;Hari ke-18;牛:ぎゅう|乳:にゅう
粉;kona;こな;tepung (bubuk);第3週;4日目;Hari ke-18;粉:こな
小麦粉;komugiko;こむぎこ;tepung terigu, tepung gandum;第3週;4日目;Hari ke-18;小:こ|麦:むぎ|粉:こ
袋;fukuro;ふくろ;kantong, kresek, tas;第3週;4日目;Hari ke-18;袋:ふくろ
紙袋;kamibukuro;かみぶくろ;kantong kertas;第3週;4日目;Hari ke-18;紙:かみ|袋:ぶくろ
手袋;tebukuro;てぶくろ;sarung tangan;第3週;4日目;Hari ke-18;手:て|袋:ぶくろ
ごみ袋;gomifukuro;ごみふくろ;kantong sampah;第3週;4日目;Hari ke-18;袋:ふくろ
混ぜる;mazeru;まぜる;mencampur;第3週;4日目;Hari ke-18;混:ま
混雑;konzatsu;こんざつ;padat, ramai, penuh sesak;第3週;4日目;Hari ke-18;混:こん|雑:ざつ
焼く;yaku;やく;membakar, memanggang;第3週;4日目;Hari ke-18;焼:や
焼ける;yakeru;やける;terbakar, terpanggang;第3週;4日目;Hari ke-18;焼:や
表・表;omote・hyō;おもて・ひょう;permukaan, tabel, bagan;第3週;4日目;Hari ke-18;表・表:おもて・ひょう
表す;arawasu;あらわす;menunjukkan, mengungkapkan;第3週;4日目;Hari ke-18;表:あらわ
発表・表面;happyō・hyōmen;はっぴょう・ひょうめん;presentasi, permukaan;第3週;4日目;Hari ke-18;発表:はっぴょう|表面:ひょうめん
代表;daihyō;だいひょう;perwakilan;第3週;4日目;Hari ke-18;代:だい|表:ひょう
裏;ura;うら;bagian belakang, sisi dalam;第3週;4日目;Hari ke-18;裏:うら
裏返す;urakaesu;うらかえす;membalik;第3週;4日目;Hari ke-18;裏:うら|返:かえ
留学;ryūgaku;りゅうがく;belajar di luar negeri;第3週;5日目;Hari ke-19;留:りゅう|学:がく
保留;horyū;ほりゅう;tertahan;第3週;5日目;Hari ke-19;保:ほ|留:りゅう
留守;rusu;るす;tidak di rumah;第3週;5日目;Hari ke-19;留:る|守:す
書留;kakitome;かきとめ;pos tercatat (dapat ganti rugi);第3週;5日目;Hari ke-19;書:かき|留:とめ
守る;mamoru;まもる;melindungi, mematuhi;第3週;5日目;Hari ke-19;守:まも
守備;shubi;しゅび;pertahanan;第3週;5日目;Hari ke-19;守:しゅ|備:び
留守番;rusuban;るすばん;menjaga (rumah dll);第3週;5日目;Hari ke-19;留:る|守:す|番:ばん
濃い;koi;こい;kental;第3週;5日目;Hari ke-19;濃:こ
薄い;usui;うすい;tipis;第3週;5日目;Hari ke-19;薄:うす
部分;bubun;ぶぶん;bagian;第3週;5日目;Hari ke-19;部:ぶ|分:ぶん
部長;buchō;ぶちょう;kepala divisi, manajer;第3週;5日目;Hari ke-19;部:ぶ|長:ちょう
学部;gakubu;がくぶ;fakultas;第3週;5日目;Hari ke-19;学:がく|部:ぶ
部屋;heya;へや;ruangan, kamar;第3週;5日目;Hari ke-19;部:へ|屋:や
数える;kazoeru;かぞえる;menghitung;第3週;5日目;Hari ke-19;数:かぞ
数学;sūgaku;すうがく;matematika;第3週;5日目;Hari ke-19;数:すう|学:がく
数字;sūji;すうじ;angka;第3週;5日目;Hari ke-19;数:すう|字:じ
事件;jiken;じけん;kejadian, kasus, insiden;第3週;5日目;Hari ke-19;事:じ|件:けん
用件;yōken;ようけん;keperluan;第3週;5日目;Hari ke-19;用:よう|件:けん
件名;kenmei;けんめい;judul keperluan;第3週;5日目;Hari ke-19;件:けん|名:めい
再入国;sainyūkoku;さいにゅうこく;kembali masuk negara;第3週;5日目;Hari ke-19;再:さい|入:にゅう|国:こく
再生;saisei;さいせい;play (audio/video), daur ulang, regenerasi;第3週;5日目;Hari ke-19;再:さい|生:せい
再ダイヤル;saidaiyaru;さいダイヤル;tombol ulang (redial);第3週;5日目;Hari ke-19;再:さい
再来週;saraishū;さらいしゅう;2 minggu lagi;第3週;5日目;Hari ke-19;再:さ|来:らい|週:しゅう
接続;setsuzoku;せつぞく;menghubungkan;第3週;6日目;Hari ke-20;接:せつ|続:ぞく
面接;mensetsu;めんせつ;wawancara;第3週;6日目;Hari ke-20;面:めん|接:せつ
続く;tsuzuku;つづく;berkelanjutan;第3週;6日目;Hari ke-20;続:つづ
続ける;tsuzukeru;つづける;melanjutkan;第3週;6日目;Hari ke-20;続:つづ
示す;shimesu;しめす;menunjukkan;第3週;6日目;Hari ke-20;示:しめ
表示;hyōji;ひょうじ;tampilan;第3週;6日目;Hari ke-20;表:ひょう|示:じ
指示;shiji;しじ;perintah;第3週;6日目;Hari ke-20;指:し|示:じ
戻る;modoru;もどる;kembali;第3週;6日目;Hari ke-20;戻:もど
戻す;modosu;もどす;mengembalikan;第3週;6日目;Hari ke-20;戻:もど
完了;kanryō;かんりょう;selesai (tidak ada lagi yang perlu dilakukan);第3週;6日目;Hari ke-20;完:かん|了:りょう
完全（な）;kanzen (na);かんぜん（な）;sempurna;第3週;6日目;Hari ke-20;完:かん|全:ぜん
了解;ryōkai;りょうかい;mengerti;第3週;6日目;Hari ke-20;了:りょう|解:かい
終了;shūryō;しゅうりょう;selesai (sesuatu yang berlangsung, selesai);第3週;6日目;Hari ke-20;終:しゅう|了:りょう
登る;noboru;のぼる;naik, mendaki;第3週;6日目;Hari ke-20;登:のぼ
登山;tozan;とざん;naik gunung;第3週;6日目;Hari ke-20;登:と|山:ざん
登録;tōroku;とうろく;daftar;第3週;6日目;Hari ke-20;登:とう|録:ろく
記録;kiroku;きろく;rekor, record;第3週;6日目;Hari ke-20;記:き|録:ろく
録音;rokuon;ろくおん;merekam suara;第3週;6日目;Hari ke-20;録:ろく|音:おん
録画;rokuga;ろくが;merekam video;第3週;6日目;Hari ke-20;録:ろく|画:が
育てる;sodateru;そだてる;mendidik, menumbuhkan;第3週;7日目;Hari ke-21;育:そだ
育つ;sodatsu;そだつ;tumbuh;第3週;7日目;Hari ke-21;育:そだ
教育;kyōiku;きょういく;pendidikan;第3週;7日目;Hari ke-21;教:きょう|育:いく
種;tane;たね;benih;第3週;7日目;Hari ke-21;種:たね
種類;shurui;しゅるい;macam, jenis;第3週;7日目;Hari ke-21;種:しゅ|類:るい
分類;bunrui;ぶんるい;klasifikasi;第3週;7日目;Hari ke-21;分:ぶん|類:るい
人類;jinrui;じんるい;umat manusia, manusia;第3週;7日目;Hari ke-21;人:じん|類:るい
教師;kyōshi;きょうし;pengajar;第3週;7日目;Hari ke-21;教:きょう|師:し
医師;ishi;いし;dokter;第3週;7日目;Hari ke-21;医:い|師:し
看護師;kangoshi;かんごし;perawat;第3週;7日目;Hari ke-21;看:かん|護:ご|師:し
妻;tsuma;つま;istri (saya);第3週;7日目;Hari ke-21;妻:つま
夫妻;fusai;ふさい;suami istri;第3週;7日目;Hari ke-21;夫:ふ|妻:さい
馬;uma;うま;kuda;第3週;7日目;Hari ke-21;馬:うま
乗馬;jōba;じょうば;naik kuda;第3週;7日目;Hari ke-21;乗:じょう|馬:ば
石;ishi;いし;batu;第3週;7日目;Hari ke-21;石:いし
石けん;sekken;せっけん;sabun;第3週;7日目;Hari ke-21;石:せっ
石油;sekiyu;せきゆ;minyak bumi;第3週;7日目;Hari ke-21;石:せき|油:ゆ
しょう油;shōyu;しょうゆ;kecap asin;第4週;1日目;Hari ke-22;油:しょうゆ
灯油;tōyu;とうゆ;minyak tanah;第4週;1日目;Hari ke-22;灯:とう|油:ゆ
緑;midori;みどり;hijau;第4週;1日目;Hari ke-22;緑:みどり
緑茶;ryokucha;りょくちゃ;teh hijau;第4週;1日目;Hari ke-22;緑:りょく|茶:ちゃ
紅茶;kōcha;こうちゃ;teh hitam;第4週;1日目;Hari ke-22;紅:こう|茶:ちゃ
口紅;kuchibeni;くちべに;lipstik;第4週;1日目;Hari ke-22;口:くち|紅:べに
〜冊;~satsu;〜さつ;counter untuk buku;第4週;1日目;Hari ke-22;冊:〜さつ
冊数;sassū;さっすう;jumlah jilid;第4週;1日目;Hari ke-22;冊:さっ|数:すう
〜個;~ko;〜こ;counter untuk benda;第4週;1日目;Hari ke-22;個:〜こ
個数;kosū;こすう;jumlah benda;第4週;1日目;Hari ke-22;個:こ|数:すう
個人;kojin;こじん;individu (sendiri);第4週;1日目;Hari ke-22;個:こ|人:じん
団体;dantai;だんたい;grup, kelompok, organisasi;第4週;1日目;Hari ke-22;団:だん|体:たい
〜枚;~mai;〜まい;counter untuk lembar;第4週;1日目;Hari ke-22;枚:〜まい
枚数;maisū;まいすう;jumlah lembar;第4週;1日目;Hari ke-22;枚:まい|数:すう
広告;kōkoku;こうこく;iklan;第4週;2日目;Hari ke-23;広:こう|告:こく
便利;benri;べんり;praktis, nyaman, berguna;第4週;2日目;Hari ke-23;便:べん|利:り
利用;riyō;りよう;penggunaan;第4週;2日目;Hari ke-23;利:り|用:よう
割る;waru;わる;memecah;第4週;2日目;Hari ke-23;割:わ
割れる;wareru;われる;pecah;第4週;2日目;Hari ke-23;割:わ
割合;wariai;わりあい;persentase, proporsi;第4週;2日目;Hari ke-23;割:わり|合:あい
割引;waribiki;わりびき;diskon;第4週;2日目;Hari ke-23;割:わり|引:びき
〜倍;~bai;〜ばい;kali lipat;第4週;2日目;Hari ke-23;倍:〜ばい
値段;nedan;ねだん;harga;第4週;2日目;Hari ke-23;値:ね|段:だん
値上げ;neage;ねあげ;naik harga;第4週;2日目;Hari ke-23;値:ね|上:あ
値下げ;nesage;ねさげ;turun harga;第4週;2日目;Hari ke-23;値:ね|下:さ
商品;shōhin;しょうひん;barang dagangan;第4週;2日目;Hari ke-23;商:しょう|品:ひん
商店;shōten;しょうてん;toko (skala kecil);第4週;2日目;Hari ke-23;商:しょう|店:てん
支店;shiten;してん;toko cabang;第4週;2日目;Hari ke-23;支:し|店:てん
本店;honten;ほんてん;toko pusat;第4週;2日目;Hari ke-23;本:ほん|店:てん
支社;shisha;ししゃ;kantor cabang;第4週;2日目;Hari ke-23;支:し|社:しゃ
本社;honsha;ほんしゃ;kantor pusat;第4週;2日目;Hari ke-23;本:ほん|社:しゃ
払う;harau;はらう;membayar;第4週;2日目;Hari ke-23;払:はら
支払い;shiharai;しはらい;pembayaran;第4週;2日目;Hari ke-23;支:し|払:はら
残す;nokosu;のこす;menyisakan;第4週;3日目;Hari ke-24;残:のこ
残る;nokoru;のこる;tersisa;第4週;3日目;Hari ke-24;残:のこ
残り;nokori;のこり;sisa;第4週;3日目;Hari ke-24;残:のこ
残業;zangyō;ざんぎょう;lembur;第4週;3日目;Hari ke-24;残:ざん|業:ぎょう
大型;ōgata;おおがた;ukuran besar;第4週;3日目;Hari ke-24;大:おお|型:がた
小型;kogata;こがた;ukuran kecil;第4週;3日目;Hari ke-24;小:こ|型:がた
新型;shingata;しんがた;tipe baru;第4週;3日目;Hari ke-24;新:しん|型:がた
税金;zeikin;ぜいきん;pajak;第4週;3日目;Hari ke-24;税:ぜい|金:きん
消費税;shōhizei;しょうひぜい;pajak konsumsi;第4週;3日目;Hari ke-24;消:しょう|費:ひ|税:ぜい
込む;komu;こむ;padat;第4週;3日目;Hari ke-24;込:こ
税込;zeikomi;ぜいこみ;termasuk pajak;第4週;3日目;Hari ke-24;税:ぜい|込:こみ
振り込む;furikomu;ふりこむ;transfer (uang);第4週;3日目;Hari ke-24;振:ふ|込:こ
価格;kakaku;かかく;harga;第4週;3日目;Hari ke-24;価:か|格:かく
定価;teika;ていか;harga yang ditetapkan;第4週;3日目;Hari ke-24;定:てい|価:か
合格;gōkaku;ごうかく;lulus;第4週;3日目;Hari ke-24;合:ごう|格:かく
格安;kakuyasu;かくやす;harga murah, promo;第4週;3日目;Hari ke-24;格:かく|安:やす
米;kome;こめ;beras;第4週;3日目;Hari ke-24;米:こめ
米国;beikoku;べいこく;Amerika Serikat;第4週;3日目;Hari ke-24;米:べい|国:こく
高級;kōkyū;こうきゅう;kelas atas (mewah);第4週;3日目;Hari ke-24;高:こう|級:きゅう
上級;jōkyū;じょうきゅう;level atas (advanced);第4週;3日目;Hari ke-24;上:じょう|級:きゅう
中級;chūkyū;ちゅうきゅう;level menengah (intermediate);第4週;3日目;Hari ke-24;中:ちゅう|級:きゅう
申し込む;mōshikomu;もうしこむ;mendaftar;第4週;4日目;Hari ke-25;申:もう|込:こ
申込書;mōshikomisho;もうしこみしょ;formulir pendaftaran;第4週;4日目;Hari ke-25;申:もう|込:こみ|書:しょ
申告;shinkoku;しんこく;deklarasi;第4週;4日目;Hari ke-25;申:しん|告:こく
申請;shinsei;しんせい;permohonan, aplikasi;第4週;4日目;Hari ke-25;申:しん|請:せい
記入;kinyū;きにゅう;mengisi;第4週;4日目;Hari ke-25;記:き|入:にゅう
日記;nikki;にっき;catatan harian;第4週;4日目;Hari ke-25;日:にっ|記:き
記事;kiji;きじ;artikel;第4週;4日目;Hari ke-25;記:き|事:じ
記号;kigō;きごう;simbol, tanda;第4週;4日目;Hari ke-25;記:き|号:ごう
例;rei;れい;contoh;第4週;4日目;Hari ke-25;例:れい
例えば;tatoeba;たとえば;misalnya, contohnya;第4週;4日目;Hari ke-25;例:たと
男性;dansei;だんせい;laki-laki;第4週;4日目;Hari ke-25;男:だん|性:せい
女性;josei;じょせい;perempuan;第4週;4日目;Hari ke-25;女:じょ|性:せい
性別;seibetsu;せいべつ;jenis kelamin;第4週;4日目;Hari ke-25;性:せい|別:べつ
性格;seikaku;せいかく;sifat, kepribadian;第4週;4日目;Hari ke-25;性:せい|格:かく
年齢;nenrei;ねんれい;usia;第4週;4日目;Hari ke-25;年:ねん|齢:れい
高齢;kōrei;こうれい;usia lanjut (tua);第4週;4日目;Hari ke-25;高:こう|齢:れい
〜歳;~sai;〜さい;tahun (usia);第4週;4日目;Hari ke-25;歳:〜さい
二十歳;hatachi;はたち;usia 20 tahun;第4週;4日目;Hari ke-25;二:は|十:た|歳:ち
連休;renkyū;れんきゅう;libur berurutan;第4週;4日目;Hari ke-25;連:れん|休:きゅう
連れて行く;tsureteiku;つれていく;mengajak pergi;第4週;4日目;Hari ke-25;連:つ|行:い
連れて来る;tsuretekuru;つれてくる;mengajak datang;第4週;4日目;Hari ke-25;連:つ|来:く
連絡;renraku;れんらく;kontak;第4週;4日目;Hari ke-25;連:れん|絡:らく
届く;todoku;とどく;tiba (mail, barang);第4週;5日目;Hari ke-26;届:とど
届ける;todokeru;とどける;mengantarkan (barang);第4週;5日目;Hari ke-26;届:とど
自宅;jitaku;じたく;rumah (saya);第4週;5日目;Hari ke-26;自:じ|宅:たく
お宅;otaku;おたく;rumah (kamu);第4週;5日目;Hari ke-26;宅:たく
宅配;takuhai;たくはい;pengiriman ke rumah;第4週;5日目;Hari ke-26;宅:たく|配:はい
配る;kubaru;くばる;membagikan, mendistribusikan;第4週;5日目;Hari ke-26;配:くば
配達;haitatsu;はいたつ;pengiriman, delivery;第4週;5日目;Hari ke-26;配:はい|達:たつ
配送料;haisōryō;はいそうりょう;biaya pengiriman;第4週;5日目;Hari ke-26;配:はい|送:そう|料:りょう
心配;shinpai;しんぱい;khawatir;第4週;5日目;Hari ke-26;心:しん|配:ぱい
荷物;nimotsu;にもつ;barang;第4週;5日目;Hari ke-26;荷:に|物:もつ
手荷物;tenimotsu;てにもつ;barang bawaan (di tangan);第4週;5日目;Hari ke-26;手:て|荷:に|物:もつ
入荷;nyūka;にゅうか;barang (stok) masuk;第4週;5日目;Hari ke-26;入:にゅう|荷:か
出荷;shukka;しゅっか;barang keluar (dikirim);第4週;5日目;Hari ke-26;出:しゅっ|荷:か
希望;kibō;きぼう;harapan;第4週;5日目;Hari ke-26;希:き|望:ぼう
望む;nozomu;のぞむ;mengharap;第4週;5日目;Hari ke-26;望:のぞ
失望;shitsubō;しつぼう;kecewa, putus asa;第4週;5日目;Hari ke-26;失:しつ|望:ぼう
交換;kōkan;こうかん;pertukaran;第4週;5日目;Hari ke-26;交:こう|換:かん
乗り換え;norikae;のりかえ;transfer (kendaraan);第4週;5日目;Hari ke-26;乗:の|換:か
代金引換;daikinhikikae;だいきんひきかえ;cash on delivery;第4週;5日目;Hari ke-26;代:だい|金:きん|引:ひき|換:かえ
代引き;daibiki;だいびき;cash on delivery;第4週;5日目;Hari ke-26;代:だい|引:び
金額;kingaku;きんがく;jumlah uang;第4週;5日目;Hari ke-26;金:きん|額:がく
半額;hangaku;はんがく;setengah harga;第4週;5日目;Hari ke-26;半:はん|額:がく
不在;fuzai;ふざい;tidak ada;第4週;6日目;Hari ke-27;不:ふ|在:ざい
現在;genzai;げんざい;saat ini;第4週;6日目;Hari ke-27;現:げん|在:ざい
取る;toru;とる;mengambil;第4週;6日目;Hari ke-27;取:と
受け取る;uketoru;うけとる;menerima;第4週;6日目;Hari ke-27;受:う|取:と
受取人;uketorinin;うけとりにん;penerima;第4週;6日目;Hari ke-27;受:うけ|取:とり|人:にん
預ける;azukeru;あずける;menitipkan;第4週;6日目;Hari ke-27;預:あず
預金;yokin;よきん;simpanan di bank;第4週;6日目;Hari ke-27;預:よ|金:きん
参る;mairu;まいる;pergi;第4週;6日目;Hari ke-27;参:まい
参加;sanka;さんか;ikut serta;第4週;6日目;Hari ke-27;参:さん|加:か
参考書;sankōsho;さんこうしょ;buku referensi;第4週;6日目;Hari ke-27;参:さん|考:こう|書:しょ
速達;sokutatsu;そくたつ;pengiriman kilat;第4週;6日目;Hari ke-27;速:そく|達:たつ
上達;jōtatsu;じょうたつ;peningkatan;第4週;6日目;Hari ke-27;上:じょう|達:たつ
友達;tomodachi;ともだち;teman;第4週;6日目;Hari ke-27;友:とも|達:だち
衣類;irui;いるい;pakaian (general);第4週;6日目;Hari ke-27;衣:い|類:るい
衣服;ifuku;いふく;pakaian (umumnya baju, celana dsb);第4週;6日目;Hari ke-27;衣:い|服:ふく
通勤;tsūkin;つうきん;pergi-pulang kerja;第4週;6日目;Hari ke-27;通:つう|勤:きん
勤める;tsutomeru;つとめる;bekerja;第4週;6日目;Hari ke-27;勤:つと
帯;obi;おび;sabuk;第4週;6日目;Hari ke-27;帯:おび
携帯電話;keitai denwa;けいたいでんわ;handphone;第4週;6日目;Hari ke-27;携:けい|帯:たい|電:でん|話:わ
時間帯;jikantai;じかんたい;zona waktu, waktu sekitar;第4週;6日目;Hari ke-27;時:じ|間:かん|帯:たい
戸;ko;こ;pintu;第4週;7日目;Hari ke-28;戸:こ
戸棚;todana;とだな;lemari;第4週;7日目;Hari ke-28;戸:と|棚:だな
雨戸;amado;あまど;pintu geser penghalang hujan;第4週;7日目;Hari ke-28;雨:あま|戸:ど
湖;mizūmi;みずうみ;danau;第4週;7日目;Hari ke-28;湖:みずうみ
びわ湖;biwako;びわこ;Danau Biwa;第4週;7日目;Hari ke-28;湖:びわこ
船;fune;ふね;kapal;第4週;7日目;Hari ke-28;船:ふね
船便;funabin;ふなびん;pengiriman via laut;第4週;7日目;Hari ke-28;船:ふな|便:びん
船長;senchō;せんちょう;nahkoda;第4週;7日目;Hari ke-28;船:せん|長:ちょう
風船;fūsen;ふうせん;balon;第4週;7日目;Hari ke-28;風:ふう|船:せん
角;kado;かど;sudut, belokan;第4週;7日目;Hari ke-28;角:かど
角度;kakudo;かくど;sudut;第4週;7日目;Hari ke-28;角:かく|度:ど
三角形;sankakukei;さんかくけい;bentuk segitiga;第4週;7日目;Hari ke-28;三:さん|角:かく|形:けい
四角い;shikakui;しかくい;segi empat;第4週;7日目;Hari ke-28;四:し|角:かく
夫;otto;おっと;suami (saya);第4週;7日目;Hari ke-28;夫:おっと
夫妻;fusai;ふさい;suami istri;第4週;7日目;Hari ke-28;夫:ふ|妻:さい
夫婦;fūfu;ふうふ;pasangan yang telah menikah (suami-istri);第4週;7日目;Hari ke-28;夫:ふう|婦:ふ
細い;hosoi;ほそい;kecil, tipis, ramping;第4週;7日目;Hari ke-28;細:ほそ
細かい;komakai;こまかい;kecil, halus, detail;第4週;7日目;Hari ke-28;細:こま
苦しい;kurushī;くるしい;menyakitkan, sulit, menderita;第4週;7日目;Hari ke-28;苦:くる
苦い;nigai;にがい;pahit;第4週;7日目;Hari ke-28;苦:にが
苦労;kurō;くろう;kerja keras;第4週;7日目;Hari ke-28;苦:く|労:ろう
苦手;nigate;にがて;tidak suka, kelemahan;第4週;7日目;Hari ke-28;苦:にが|手:て
お礼;orei;おれい;ucapan terima kasih, hadiah;第5週;1日目;Hari ke-29;礼:れい
伺う;ukagau;うかがう;bertanya (sopan), mengunjungi;第5週;1日目;Hari ke-29;伺:うかが
遅い;osoi;おそい;lambat, terlambat, larut;第5週;1日目;Hari ke-29;遅:おそ
遅れる;okureru;おくれる;terlambat;第5週;1日目;Hari ke-29;遅:おく
遅刻;chikoku;ちこく;terlambat;第5週;1日目;Hari ke-29;遅:ち|刻:こく
失礼（な）;shitsurei (na);しつれい（な）;tidak sopan, kurang ajar;第5週;1日目;Hari ke-29;失:しつ|礼:れい
失礼する;shitsureisuru;しつれいする;pamit;第5週;1日目;Hari ke-29;失:しつ|礼:れい
失敗;shippai;しっぱい;kegagalan;第5週;1日目;Hari ke-29;失:しっ|敗:ぱい
汗;ase;あせ;keringat;第5週;1日目;Hari ke-29;汗:あせ
汗をかく;ase wo kaku;あせをかく;berkeringat;第5週;1日目;Hari ke-29;汗:あせ
残念（な）;zannen (na);ざんねん（な）;sayang sekali;第5週;1日目;Hari ke-29;残:ざん|念:ねん
記念;kinen;きねん;peringatan;第5週;1日目;Hari ke-29;記:き|念:ねん
涙;namida;なみだ;air mata;第5週;1日目;Hari ke-29;涙:なみだ
涙を流す;namida wo nagasu;なみだをながす;mengalirkan air mata;第5週;1日目;Hari ke-29;涙:なみだ|流:なが
笑う;warau;わらう;tertawa、tersenyum;第5週;1日目;Hari ke-29;笑:わら
笑い;warai;わらい;tertawa;第5週;1日目;Hari ke-29;笑:わら
笑顔;egao;えがお;muka tertawa;第5週;1日目;Hari ke-29;笑:え|顔:がお
調べる;shiraberu;しらべる;mencari tahu, meneliti, memeriksa;第5週;2日目;Hari ke-30;調:しら
調子;chōshi;ちょうし;keadaan, kondisi;第5週;2日目;Hari ke-30;調:ちょう|子:し
強調;kyōchō;きょうちょう;penekanan, menekankan;第5週;2日目;Hari ke-30;強:きょう|調:ちょう
調査;chōsa;ちょうさ;investigasi;第5週;2日目;Hari ke-30;調:ちょう|査:さ
移す;utsusu;うつす;memindahkan, menularkan, ;第5週;2日目;Hari ke-30;移:うつ
移る;utsuru;うつる;pindah;第5週;2日目;Hari ke-30;移:うつ
移動;idō;いどう;perpindahan, berpindah;第5週;2日目;Hari ke-30;移:い|動:どう
難しい;muzukashī;むずかしい;sulit;第5週;2日目;Hari ke-30;難:むずか
難問;nanmon;なんもん;soal sulit, pertanyaan sulit;第5週;2日目;Hari ke-30;難:なん|問:もん
困難;konnan;こんなん;kesulitan;第5週;2日目;Hari ke-30;困:こん|難:なん
